Tanggal,Beban (MW)
2024-04-14,932.3732483129259
2024-04-15,958.9153040068426
2024-04-16,1002.9326318927308
2024-04-17,951.1091160836847
2024-04-18,953.0946113847276
2024-04-19,942.6027805282322
2024-04-20,876.7129778800709
2024-04-21,932.8927183660667
2024-04-22,944.8792994020288
2024-04-23,1016.326335593868
2024-04-24,935.9875336625057
2024-04-25,950.10688327943
2024-04-26,939.2942271413112
2024-04-27,894.523587944905
2024-04-28,963.0904166983998
2024-04-29,960.5592113779568
2024-04-30,960.9015902822237
2024-05-01,909.032589161149
2024-05-02,977.5160463030657
2024-05-03,892.469373851538
2024-05-04,941.1982607558718
2024-05-05,988.3490886466902
2024-05-06,901.937715390671
2024-05-07,913.6590627440113
2024-05-08,932.6078273308908
2024-05-09,913.4607158843855
2024-05-10,880.96850120472
2024-05-11,918.4457505232351
2024-05-12,883.3975713414177
2024-05-13,938.329974003915
2024-05-14,895.3730283816346
2024-05-15,968.2657235181224
2024-05-16,897.0607622406307
2024-05-17,909.6662772025276
2024-05-18,932.4828574687917
2024-05-19,869.8804569283348
2024-05-20,922.3394337590324
2024-05-21,953.4197539521292
2024-05-22,864.6517844227466
2024-05-23,917.0674757523019
2024-05-24,917.958890149945
2024-05-25,922.2332113825667
2024-05-26,860.26870546409
2024-05-27,866.3452278484895
2024-05-28,920.182290822572
2024-05-29,911.982545013189
2024-05-30,909.1210246119616
2024-05-31,910.5176276294868
2024-06-01,868.2265290635142
2024-06-02,894.0835616822164
2024-06-03,904.3828435498064
2024-06-04,872.6213358942584
2024-06-05,948.4732693312981
2024-06-06,905.1505835089157
2024-06-07,853.6199227495672
2024-06-08,897.4674047794114
2024-06-09,846.9309229661571
2024-06-10,908.1737693793469
2024-06-11,917.6987155926752
2024-06-12,856.6902345430314
2024-06-13,908.5725658046788
2024-06-14,890.4064953280165
2024-06-15,891.0283540726355
2024-06-16,921.606007527712
2024-06-17,865.6689235429751
2024-06-18,848.740006613255
2024-06-19,842.9818560905919
2024-06-20,843.5023500235932
2024-06-21,863.9676500114286
2024-06-22,864.8144789364868
2024-06-23,861.1755417251587
2024-06-24,885.9813981832502
2024-06-25,859.8437317380572
2024-06-26,901.3446702380659
2024-06-27,848.0816227394406
2024-06-28,935.9072982981417
2024-06-29,861.3518644556635
2024-06-30,815.1459729963804
2024-07-01,817.0125253692979
2024-07-02,861.8923284345824
2024-07-03,838.9938931397714
2024-07-04,865.3986870861835
2024-07-05,856.45848081386
2024-07-06,828.3614576385739
2024-07-07,803.4302877457784
2024-07-08,791.679765514166
2024-07-09,822.0246317460019
2024-07-10,859.4112625358525
2024-07-11,838.4461537513499
2024-07-12,792.9605476592827
2024-07-13,823.8433362315559
2024-07-14,828.528954368804
2024-07-15,798.7820588658725
2024-07-16,828.2452039055651
2024-07-17,823.7231940334584
2024-07-18,786.0396091377323
2024-07-19,829.4229167168659
2024-07-20,823.882687568594
2024-07-21,837.930306028185
2024-07-22,845.4426884880703
2024-07-23,770.8991224408908
2024-07-24,782.5062211368996
2024-07-25,824.5154621346977
2024-07-26,822.9135445304108
2024-07-27,811.3995521541319
2024-07-28,909.9912753687958
2024-07-29,820.0107645534086
2024-07-30,835.439698494549
2024-07-31,828.4958715602186
2024-08-01,817.9354984375886
2024-08-02,787.4689178445963
2024-08-03,808.2450327607329
2024-08-04,760.8563173228553
2024-08-05,785.5182150073673
2024-08-06,776.6605683358796
2024-08-07,792.2938178590974
2024-08-08,857.9112970038725
2024-08-09,731.1057627626641
2024-08-10,796.382334387579
2024-08-11,726.102888143402
2024-08-12,769.0356576049637
2024-08-13,814.5911769613194
2024-08-14,782.6002778841662
2024-08-15,747.1092956514032
2024-08-16,756.7731973546048
2024-08-17,787.4321770593915
2024-08-18,743.9667999636263
2024-08-19,781.2270749342584
2024-08-20,774.9782939180601
2024-08-21,752.9635854351214
2024-08-22,835.7533371718882
2024-08-23,789.3992842912787
2024-08-24,698.5977277681774
2024-08-25,763.9398242984912
2024-08-26,747.5109861845574
2024-08-27,791.9804521020232
2024-08-28,741.6994721117127
2024-08-29,761.1256897810104
2024-08-30,778.8354055644226
2024-08-31,778.8020239541714
2024-09-01,715.9898873909732
2024-09-02,751.1592306618222
2024-09-03,746.1677115916804
2024-09-04,740.0645427903203
2024-09-05,811.9031641990113
2024-09-06,770.3910887228894
2024-09-07,709.7444091506393
2024-09-08,774.4634653078454
2024-09-09,819.9765512808359
2024-09-10,786.6978434774923
2024-09-11,709.5827430201624
2024-09-12,740.1048781509679
2024-09-13,792.1355527768691
2024-09-14,722.4228611750217
2024-09-15,756.5208045419805
2024-09-16,776.027201939974
2024-09-17,724.5910307894208
2024-09-18,750.252870153597
2024-09-19,654.4693245999296
2024-09-20,720.6735557635882
2024-09-21,733.5551964349711
2024-09-22,703.4550981417091
2024-09-23,799.6466541912076
2024-09-24,707.5852275511112
2024-09-25,737.1327752236735
2024-09-26,754.1305012320436
2024-09-27,793.3502271134802
2024-09-28,696.9695073958811
2024-09-29,774.903246699175
2024-09-30,750.3079178569686
2024-10-01,720.5778902705724
2024-10-02,763.9381031039298
2024-10-03,756.1282487516477
2024-10-04,732.2609963744205
2024-10-05,742.5021629349826
2024-10-06,729.018801404752
2024-10-07,754.1832994157442
2024-10-08,770.8706707268962
2024-10-09,798.8455602449619
2024-10-10,714.4181533599852
2024-10-11,815.8603542125271
2024-10-12,683.6525318637594
2024-10-13,738.0364016316905
2024-10-14,770.6431240093866
2024-10-15,761.8557622665654
2024-10-16,735.2060360181521
2024-10-17,748.1328498300911
2024-10-18,740.1043203307197
2024-10-19,727.7594185489594
2024-10-20,771.5024571164413
2024-10-21,767.3267416966589
2024-10-22,736.4585437842608
2024-10-23,784.890867491334
2024-10-24,767.8061868077649
2024-10-25,783.6844822849052
2024-10-26,768.9257782924841
2024-10-27,725.9320150263829
2024-10-28,744.7878177997545
2024-10-29,784.8296376392736
2024-10-30,781.5654724900442
2024-10-31,763.4965563534953
2024-11-01,768.5381123465107
2024-11-02,794.2681063102049
2024-11-03,739.1357956983443
2024-11-04,784.2652661048596
2024-11-05,762.780314526247
2024-11-06,763.3334550857156
2024-11-07,803.868739883938
2024-11-08,796.7329053625632
2024-11-09,787.4638063916254
2024-11-10,803.3337833667736
2024-11-11,775.9329064793272
2024-11-12,796.9168868424503
2024-11-13,768.3275934726051
2024-11-14,788.5593283464757
2024-11-15,776.1498756638047
2024-11-16,774.2046022274147
2024-11-17,790.4103488798129
2024-11-18,759.289917678768
2024-11-19,847.9086621670656
2024-11-20,756.2762484659912
2024-11-21,751.3696667722813
2024-11-22,823.8956391934894
2024-11-23,804.2772121228116
2024-11-24,800.6435671661845
2024-11-25,812.1801896488166
2024-11-26,794.3890654978305
2024-11-27,769.2818517015952
2024-11-28,799.9325760092568
2024-11-29,778.8180542694263
2024-11-30,819.8760369865348
2024-12-01,787.714894543357
2024-12-02,778.8800570059395
2024-12-03,795.5354905763692
2024-12-04,819.1103843732257
2024-12-05,791.368903154649
2024-12-06,785.1845892124096
2024-12-07,808.7442757203967
2024-12-08,810.3765428441944
2024-12-09,799.4240925212289
2024-12-10,802.116560872039
2024-12-11,824.8345319514925
2024-12-12,776.0653472894513
2024-12-13,778.9278434806423
2024-12-14,791.2508576090164
2024-12-15,808.0612559370257
2024-12-16,835.4599503673452
2024-12-17,872.0685352080699
2024-12-18,855.2193387091987
2024-12-19,826.3791731167728
2024-12-20,832.3001993447715
2024-12-21,794.4932369944377
2024-12-22,825.7167287089019
2024-12-23,829.3194363424606
2024-12-24,849.3713870653991
2024-12-25,816.5865918196856
2024-12-26,858.7001527470031
2024-12-27,890.8202006677518
2024-12-28,833.2950343840197
2024-12-29,850.3300160473848
2024-12-30,870.7043197513335
